id,РУССКИЙ ТЕКСТ,ENGLISH
99800,"Веками эти санитары шахт, невесть как попавшие сюда с нижних уровней подземелий, подвергались воздействию агрессивной среды. В результате беспощадной эволюции трупоеды стали абсолютно невосприимчивы к ядам и радиации. Питаются как неорганической, так и органической материей, полностью оправдывая свое название.",
100463,Изучен трактат о защите,
100464,Изучен трактат обновления,
100465,Изучен трактат о твердости,
100480,Изучен трактат о жизни,
100481,Изучен трактат о великане,
100499,Изучен трактат о слабости,
100500,Изучен трактат о исцелении,
100501,Изучен трактат о балансе,
100502,Изучен трактат энергии,
100504,Изучен трактат о магии,
100505,Изучен трактат о крови,
100506,Изучен трактат о замедлении,
100507,Изучен трактат о ловкости,
100547,Изучен трактат о силе,
100548,Изучен трактат о разрушении	,
100549,Изучен трактат отравления,
100551,Изучен трактат о сокрушении,
100552,Изучен трактат о мощи,
101374,Любая рука,
101380,Щит,
101381,Двуручный топор,
101382,Одноручный топор,
101384,Двуручный посох,
101395,Двуручное копьё,
101396,Помощники,
101398,Свитки перемещения,
101399,Берет,
101400,Двуручная алебарда,
101401,Граната,
101402,Магическая сфера,
101405,Уникальные ресурсы,
101408,Двуручный букет,
101414,Двуручное Огнестрельное,
101420,Провизия,
101422,Инструмент Инкрустации,
101423,Рубин,
101424,Сапфир,
101427,Зеберг,
101434,Мультизеберг,
101435,Мультибриллиант,
101436,Мультибирмит,
101441,Ларец,
101444,Дополнительные ингредиенты,
101449,Механизм,
101450,Уникальный камень,
101452,Благо,
101458,арАльмагр,
101465,Ускоритель,
101466,Находка Храма Древних,
101467,Сибирит,
101468,арСибирит,
105276,"У вас не хватает жизненной силы, которую, по всей видимости, вытягивает необработанный реагентом цветальник обыкновенный.",
105277,"Вы видите неясные очертания какого-то растения, но, при попытке сорвать цветок, он выскользает из рук. Видимо, действие зелья истинного зрения закончилось, и нужно опять наведаться в лабораторию Алхимика.",
155371,"Благодаря выпитой Фляге отваги, Вы дополнительно получили 108 отваги.",
157040,"%NICK% получает скидку 75% на приобретение аккаунта, активировав <a target=""_blank"" href=""http://w0.tmgame.ru/info/artinfo.php?id=10681""><b>Механического муравья</a></b>",
157041,"%NICK% получает скидку 100% на приобретение аккаунта, активировав <a target=""_blank"" href=""http://w0.tmgame.ru/info/artinfo.php?id=10681""><b>Механического муравья</a></b>",
157371,"""Месть настигнет тебя, %NICK%!"" - побежденный ящер упал на брюхо, а вам достались его трофеи.",
157522,Поздравляем с новым рангом!,
158328,"""Темные Своды"" для 30-х уровней расформированы.",
158346,Вступить в клан,
158371,Заложить взрывчатку в бруствер,
158400,Принять приглашение в торговлю,
158401,Подарить подарок,
158529,В подземелье,
158553,В подземелье Соли-Дора,
158554,Подземелье Соли-Дора,
158559,На остров,
158609,К кузнице,
158622,На остров людей,
158623,На остров гномов,
158634,Обыскать обломки,
158635,Изучить панцирь жука,
158648,Проверить старый форт,
158722,Выпить Эликсир,
158785,Телепортация ко врагу,
158869,Обыскать сугроб,
158900,К острову бури,
158901,На мыс шторма,
158912,Прочесть,
158914,Обыскать палатку,
158958,осмотреть паровую машину,
159000,Открыть ранец,
159062,Принять приглашение на инкрустацию,
159063,Приглашение в Инкрустацию,
159152,Развеять прах,
159154,На остров Забвения,
159206,Отдать помощнику,
159250,Старый Порт,
159300,Прочесть Свиток Доблести,
159323,Заправить(зел),
159336,Усилить,
159337,Модифицировать,
159338,Раскрыть,
159406,Обработать глиняную табличку,
159407,Обработать каменную табличку,
159416,Обработать медную табличку,
159421,Обработать серебряную табличку,
159426,Обработать золотую табличку,
159434,Открыть сундук с Эфирным комплеком стрелка,
159438,Открыть сундук с Эфирным строевым комплектом,
159463,Обработать мраморную табличку,
159470,Выдать усиленный комплект механиков,
159472,Выдать усиленный комплект хранителей,
159474,Выдать усиленный комплект головорезов,
159483,Разбить идол,
159489,Разобрать Шлем Разрушителя,
159490,Разобрать Броню Разрушителя,
159491,Разобрать Кольчугу Разрушителя,
159492,Разобрать Поножи Разрушителя,
159493,Разобрать Сапоги Разрушителя,
159494,Разобрать Перчатки Разрушителя,
159495,Разобрать Наплечники Разрушителя,
159496,Разобрать Секиру Разрушителя,
159499,Разобрать Шлем Колизея,
159500,Разобрать Броню Колизея,
159501,Разобрать Кольчугу Колизея,
159502,Разобрать Поножи Колизея,
159503,Разобрать Сапоги Колизея,
159504,Разобрать Наплечники Колизея,
159505,Разобрать Перчатки Колизея,
159506,Разобрать Молот Колизея,
159507,Разобрать Топор Колизея,
159512,Разобрать Амулет Разрушителя,
159514,Разобрать Амулет Мракоборца,
159518,Разобрать Кисет Диверсанта,
159519,Разобрать Браслет Диверсанта,
159521,Разобрать Призрачное око,
159524,Транслировать Ореол всадника,
159529,Разобрать Шлем Убийцы,
159530,Разобрать Броню Убийцы,
159531,Разобрать Кольчугу Убийцы,
159532,Разобрать Поножи Убийцы,
159533,Разобрать Сапоги Убийцы,
159534,Разобрать Перчатки Убийцы,
159535,Разобрать Наплечники Убийцы,
159536,Разобрать Меч Убийцы,
159537,Разобрать Кольцо Убийцы,
159538,Разобрать Амулет Убийцы,
159544,Преобразовать в глиняную табличку,
159545,Преобразовать в каменную табличку,
159546,Преобразовать в мраморную табличку,
159548,Преобразовать в серебряную табличку,
159587,Надеть поножи жизни,
159588,Надеть шлем жизни,
159611,Получить Термические Гранаты х10,
159613,Получить Генератор Силового Поля,
159618,Получить Сферы Жизненной Энергии,
159619,Получить Осколки Хаоса х60,
159622,Получить Заг. кристаллы ненавист,
159623,Получить Волш. кристаллы ненавис,
159624,Получить Гер. кристаллы ненавист,
159625,Получить Эликсиры Равновесия х12,
159630,Обыч. хронограф силы х12,
159666,Получить 1 уровень,
159667,Получить 2 уровень,
159668,Получить 3 уровень,
159669,Получить 4 уровень,
159670,Получить 5 уровень,
159671,Получить 6 уровень,
159672,Получить 7 уровень,
159673,Получить 8 уровень,
159675,Получить 10 уровень,
159699,Разобрать цепь,
159724,Сбросить аккаунт!,
159728,Превратить чешую дракона в шкуру,
159738,Получить Куб Сомнений,
159739,Разбить маску,
160071,Создать компоненты гнева х1,
160072,Создать компоненты гнева х10,
160073,Создать компоненты гнева х100,
160074,Создать компоненты отчаяния х1,
160075,Создать компоненты отчаяния х10,
160076,Создать компоненты отчаяния х100,
160077,Создать компоненты страха х1,
160078,Создать компоненты страха х10,
160079,Создать компоненты страха х100,
160080,Создать компоненты безысходности,
160083,Создать компоненты боли х1,
160084,Создать компоненты боли х10,
160085,Создать компоненты боли х100,
160086,Создать компоненты страданий х1,
160087,Создать компоненты страданий х10,
160089,Создать компоненты ужаса х1,
160090,Создать компоненты ужаса х10,
160091,Создать компоненты ужаса х100,
160092,Создать компоненты свирепости х1,
160096,Создать вымпел гнева х1,
160097,Создать вымпел гнева х10,
160098,Создать вымпел гнева х100,
160099,Создать вымпел отчаяния х1,
160100,Создать вымпел отчаяния х10,
160101,Создать вымпел отчаяния х100,
160102,Создать вымпел страха х1,
160103,Создать вымпел страха х10,
160104,Создать вымпел страха х100,
160105,Создать вымпел безысходности х1,
160106,Создать вымпел безысходности х10,
160108,Создать вымпел боли х1,
160109,Создать вымпел боли х10,
160110,Создать вымпел боли х100,
160111,Создать вымпел страданий х1,
160112,Создать вымпел страданий х10,
160113,Создать вымпел страданий х100,
160114,Создать вымпел ужаса х1,
160115,Создать вымпел ужаса х10,
160116,Создать вымпел ужаса х100,
160117,Создать вымпел свирепости х1,
160118,Создать вымпел свирепости х10,
160119,Создать вымпел свирепости х100,
160122,Получить Регалию Фанатизма,
160123,Получить Регалию Триумфа,
160129,Перевязать укус,
160251,Хлопнуть синюю,
160252,Хлопнуть зеленую,
160253,Хлопнуть фиолетовую,
160625,Превратить паучий шёлк в кальций,
160630,Обменять на амулет Берсерка,
160631,Обменять на кольцо Берсерка,
160632,Обменять на амулет Небесного жем,
160633,Обменять на кольцо Небесного жем,
160635,Обменять на кольцо Мракоборца,
160647,Обменять на кисет Диверсанта,
160648,Обменять на браслет Диверсанта,
160652,Разобрать браслет Владычицы,
160653,Разобрать усики Торсии,
160654,Разобрать жабры Рыбоящера,
160655,Разобрать костяную саблю,
160701,Обменять на регалию жемчуга,
160705,Обменять на регалию тьмы 15го ур,
160709,Обменять на регалию тьмы 11го ур,
160713,Обменять на регалию света 15го ур,
160762,Превратить в Штихели Подмастерья,
160763,Превратить в Штихели Мастера,
160764,Превратить в Штихели Магистра,
160765,Превратить в Штихели Эксперта,
161070,Получить скидку 15%,
161071,Получить скидку 25%,
161072,Получить скидку 50%,
161073,Получить скидку 75%,
161074,Получить скидку 80%,
161075,Получить скидку 100%,
161083,Склеить Красный шар,
161084,Склеить Синий шар,
161085,Обменять на подарок,
161086,Пожелать себе подарок,
161145,Боссы шахты (2 уровень),
161147,Подземелья. ПГЗ,
161148,Солидор. Поле брани,
161150,В Улей,
161151,Первый уровень шахты (безопаска),
161210,Укрепить младший меч теней,
161214,Укрепить младший молот теней,
161218,Обменять на шлем оруженосца,
161219,Обменять на доспех оруженосца,
161220,Обменять на кольчугу оруженосца,
161221,Обменять на поножи оруженосца,
161222,Обменять на сапоги оруженосца,
161223,Обменять на наплечники оруженосц,
161224,Обменять на перчатки оруженосца,
161225,Обменять на дагу оруженосца,
161226,Обменять на меч оруженосца,
161234,Обменять на чекан оруженосца,
161236,Обменять на строевой доспех,
161237,Обменять на строевую кульчугу,
161238,Обменять на строевые поножи,
161239,Обменять на строевые сапоги,
161240,Обменять на строевые наплечнки,
161241,Обменять на строевые перчатки,
161242,Обменять на строевой щит,
161243,Обменять на строевой шестопёр,
161245,Обменять на броню тени,
161246,Обменять на кольчугу тени,
161247,Обменять на поножи тени,
161248,Обменять на сапоги тени,
161249,Обменять на наплечники тени,
161250,Обменять на перчатки тени,
161251,Обменять на двуручный меч тени,
161252,Обменять на шлем пикинёра,
161253,Обменять на доспех пикинёра,
161254,Обменять на кольчугу пикинёра,
161255,Обменять на поножи пикинёра,
161256,Обменять на сапоги пикинёра,
161257,Обменять на наплечники пикинёра,
161258,Обменять на перчатки пикинёра,
161259,Обменять на алебарду пикинёра,
161260,Обменять на шлем мщения,
161261,Обменять на доспех мщения,
161262,Обменять на кольчугу мщения,
161263,Обменять на поножи мщения,
161264,Обменять на сапоги мщения,
161265,Обменять на наплечники мщения,
161266,Обменять на перчатки мщения,
161267,Обменять на секиру мщения,
161268,Обменять на шлем техника,
161269,Обменять на доспех техника,
161270,Обменять на кольчугу техника,
161271,Обменять на поножи техника,
161272,Обменять на сапоги техника,
161273,Обменять на наплечники техника,
161274,Обменять на перчатки техника,
161283,Обменять на левый малый резак,
161284,Обменять на правый малый резак,
161286,обменять на броню сорвиголовы,
161287,Обменять на кольчугу сорвиголовы,
161288,Обменять на поножи сорвиголовы,
161289,Обменять на сапоги сорвиголовы,
161290,Обменять на наплечники сорвиголо,
161291,Обменять на перчатки сорвиголовы,
161292,Обменять на щит сорвиголовы,
161293,Обменять на топор сорвиголовы,
161295,Обменять на броню стрелка,
161296,Обменять на кольчугу стрелка,
161297,Обменять на поножи стрелка,
161298,Обменять на сапоги стрелка,
161299,Обменять на наплечники стрелка,
161300,Обменять на перчатки стрелка,
161301,Обменять на многозарядное ружьё,
161302,Обменять на шлем инженера,
161303,Обменять на доспех инженера,
161304,Обменять на кольчугу инженера,
161305,Обменять на поножи инженера,
161306,Обменять на сапоги инженера,
161307,Обменять на наплечники инженера,
161308,Обменять на перчатки инженера,
161309,Обменять на универсальный механи,
161310,Обменять на шлем расплаты,
161311,Обменять на доспех расплаты,
161312,Обменять на кольчугу расплаты,
161313,Обменять на поножи расплаты,
161314,Обменять на сапоги расплаты,
161315,Обменять на наплечники расплаты,
161316,Обменять на перчатки расплаты,
161317,Обменять на секиру расплаты,
161318,Разобрать полевую сумку,
161319,Разобрать походную сумку,
161320,Разобрать полевую торбу,
161321,Разобрать походную торбу,
161330,Разобрать шлем Истребителя,
161331,Разобрать доспех истребителя,
161332,Разобрать кольчугу Истребителя,
161333,Разобрать поножи Истребителя,
161334,Разобрать сапоги Истребителя,
161335,Разобрать наплечники Истребителя,
161336,Разобрать перчатки Истребителя,
161337,Разобрать огнемет Истребителя,
161343,Разобрать полевую ташку,
161344,Разобрать походную ташку,
161345,Разобрать шлем Берсерка,
161346,Разобрать броню Берсерка,
161347,Разобрать кольчугу Берсерка,
161348,Разобрать поножи Берсерка,
161349,Разобрать сапоги Берсерка,
161350,Разобрать секиру Берсерка,
161376,Разобрать полевой ранец,
161381,Разобрать наплечники Берсерка,
161382,Разобрать перчатки Берсерка,
161403,Обменять тени,
161453,Принять печать,
161454,Отменить печать,
161537,Уплыть из Мрачнолесья,
161545,Покупка Набора новичка,
161647,Разобрать наплечники защитника,
161648,Разобрать перчатки защитника,
161650,Разобрать шлем стража,
161651,Разобрать броню стража,
161652,Разобрать кольчугу стража,
161653,Разобрать поножи стража,
161654,Разобрать сапоги стража,
161655,Разобрать перчатки стража,
161656,Разобрать наплечники стража,
161657,Разобрать секиру стража,
161792,К дому знахаря,
161796,Набрать воды,
161797,Нагреть пергамент в горне,
162017,Разобрать шляпу Мракоборца,
162018,Разобрать камзол Мракоборца,
162019,Разобрать рубаху Мракоборца,
162020,Разобрать штаны Мракоборца,
162021,Разобрать сапоги Мракоборца,
162022,Разобрать наплечники Мракоборца,
162023,Разобрать перчатки Мракоборца,
162024,Разобрать посох Мракоборца,
162025,Разобрать плащ Мракоборца,
162026,Разобрать шлем Диверсанта,
162027,Разобрать куртку Диверсанта,
162028,Разобрать жилет Диверсанта,
162030,Разобрать ботинки Диверсанта,
162031,Разобрать наплечники Диверсанта,
162032,Разобрать перчатки Диверсанта,
162033,Разобрать арбалет Аспид,
162034,Разобрать плащ Светоносца,
162035,Разобрать магическую шляпу,
162036,Разобрать магический доспех,
162037,Разобрать магическую рубаху,
162038,Разобрать магические поножи,
162039,Разобрать магические сапоги,
162040,Разобрать магические наплечники,
162041,Разобрать магические перчатки,
162042,Разобрать шлем защиты,
162043,Разобрать броню защиты,
162044,Разобрать кольчугу защиты,
162045,Разобрать поножи защиты,
162046,Разобрать сапоги защиты,
162048,Разобрать перчатки защиты,
162125,Разбирает Шлем Разрушителя на составляющие ингредиенты,
162126,Разбирает Броню Разрушителя на составляющие ингредиенты,
162127,Разбирает Кольчугу Разрушителя на составляющие ингредиенты,
162128,Разбирает Поножи Разрушителя на составляющие ингредиенты,
162129,Разбирает Сапоги Разрушителя на составляющие ингредиенты,
162130,Разбирает Перчатки Разрушителя на составляющие ингредиенты,
162131,Разбирает Наплечники Разрушителя на составляющие ингредиенты,
162132,Разбирает Секиру Разрушителя на составляющие ингредиенты,
162133,Разбирает Шлем Колизея на составляющие ингредиенты,
162134,Разбирает Броню Колизея на составляющие ингредиенты,
162135,Разбирает Кольчугу Колизея на составляющие ингредиенты,
162136,Разбирает Поножи Колизея на составляющие ингредиенты,
162137,Разбирает Сапоги Колизея на составляющие ингредиенты,
162138,Разбирает Наплечники Колизея на составляющие ингредиенты,
162139,Разбирает Перчатки Колизея на составляющие ингредиенты,
162140,Разбирает Молот Колизея на составляющие ингредиенты,
162141,Разбирает Топор Колизея на составляющие ингредиенты,
162142,Разбирает Кольцо Колизея на составляющие ингредиенты,
162143,Разбирает Витое Кольцо Колизея на составляющие ингредиенты,
162144,Разбирает Амулет Колизея на составляющие ингредиенты,
162145,Разбирает Кольцо Разрушителя на составляющие ингредиенты,
162146,Разбирает Амулет Разрушителя на составляющие ингредиенты,
162147,Разбирает Амулет Мракоборца на составляющие ингредиенты,
162148,Разобрать Кольцо Мракоборца на составляющие ингредиенты,
162149,Разобрать Сферу Мракоборца на составляющие ингредиенты,
162150,Разобрать Трофей Мракоборца на составляющие ингредиенты,
162151,Разобрать Кисет Диверсанта на составляющие ингредиенты,
162152,Разобрать Браслет Диверсанта на составляющие ингредиенты,
162153,Разобрать Консоль Диверсанта на составляющие ингредиенты,
162154,Разобрать Линзу Диверсанта на составляющие ингредиенты,
162155,Разбирает Шлем Убийцы на составляющие ингредиенты,
162156,Разбирает Броню Убийцы на составляющие ингредиенты,
162157,Разбирает Кольчугу Убийцы на составляющие ингредиенты,
162158,Разбирает Поножи Убийцы на составляющие ингредиенты,
162159,Разбирает Сапоги Убийцы на составляющие ингредиенты,
162160,Разбирает Перчатки Убийцы на составляющие ингредиенты,
162161,Разбирает Наплечники Убийцы на составляющие ингредиенты,
162162,Разбирает Меч Убийцы на составляющие ингредиенты,
162163,Разбирает Кольцо Убийцы на составляющие ингредиенты,
162164,Разбирает Амулет Убийцы на составляющие ингредиенты,
162165,Разбирает Шлем Подземного Великана на составляющие ингредиенты,
162166,Разбирает Броню Подземного Великана на составляющие ингредиенты,
162167,Разбирает Кольчугу Подземного Великана на составляющие ингредиенты,
162168,Разбирает Поножи Подземного Великана на составляющие ингредиенты,
162169,Разбирает Сапоги Подземного Великана на составляющие ингредиенты,
162170,Разбирает Наплечники Подземного Великана на составляющие ингредиенты,
162171,Разбирает Перчатки Подземного Великана на составляющие ингредиенты,
162172,Разбирает Молот Подземного Великана на составляющие ингредиенты,
162173,Разобрать Амулет Подземного Великана,
162174,Разбирает Кольцо Подземного Великана на составляющие ингредиенты,
162175,Разбирает Превосходное Кольцо Призрачного Воина на составляющие ингредиенты,
162176,Разобрать Кольцо Берсерка на составляющие ингредиенты,
162177,Разобрать Амулет Берсерка на составляющие ингредиенты,
162178,Разобрать Кольцо Неукротимого Берсерка на составляющие ингредиенты,
162179,Разобрать Амулет Неукротимого Берсерка на составляющие ингредиенты,
162200,Грейд регалии Предвестника бури до Архимага,
162201,Грейд регалии Архимага до Заклинателя грома,
162202,Грейд регалии Ловца душ до Завоевателя,
162203,Грейд регалии Завоевателя до Хозяина камней,
162206,Обмен консоли,
162207,обмен черепа,
162216,обмен черепа на регалию света 15 ур,
162218,Обмен жемчугаы на регалию света 15го уровня,
162219,Грейд регалии Рекрута до Рубаки,
162220,Грейд регалии Рубаки до Следопыта,
162221,Грейд регалии Следопыта до Карателя,
162222,Грейд регалии Карателя до Молотобойца,
162223,Грейд регалии Молотобойца до Истребителя,
162224,Грейд регалии Истребителя до Охотника за головами,
162225,Грейд регалии Охотника за головами до Гренадера,
162226,Грейд регалии Гренадера до Бомбардира,
162227,Грейд регалии Бомбордира до Взрывотехника,
162228,Грейд регалии Взрывотехника до Крушителя,
162229,Грейд регалии Крушителя до Каменного стража,
162230,Грейд регалии Каменного стража до Ловца душ,
162231,Грейд регалии Хозяина камней до Повелителя вулканов,
162232,Грейд регалии Повелителя вулканов до Варграфа,
162233,Грейд регалии Варграфа до Кхадлорда,
162234,Грейд регалии Кхадлорда до Князя гор,
162235,Грейд регалии Князя гор до Избранного,
162236,Грейд регалии Новобранца до Легионера,
162237,Грейд регалии Легионера до Мастера клинка,
162238,Грейд регалии Мастера клинка до Гвардейца,
162239,Грейд регалии Гвардейца до Оруженосца,
162240,Грейд регалии Оруженосца до Рыцаря Лонгхольма,
162241,Грейд регалии Рыцаря Лонгхольма до Черного рыцаря,
162242,Грейд регалии Черного рыцаря до Посвященного,
162243,Грейд регалии Посвященного до Всадника зари,
162244,Грейд регалии Всадника зари до Паладина,
162245,Грейд регалии Паладина до Магистра духа,
162246,Грейд регалии Магистра духа до Чародея,
162247,Грейд регалии Чародея до Предвестника бури,
162248,Грейд регалии Заклинателя грома до Высшего магистра,
162249,Грейд регалии Высшего магистра до Воздаятеля,
162250,Грейд регалии Воздаятеля до Вершителя,
162251,Грейд регалии Вершителя до Жнеца,
162252,Грейд регалии Жнеца до Мечника апокалипсиса,
165510,активация абилки для снятия эффекта,
170664,Базовая стоимость ремонта,
170665,Клановая стоимость ремонта,
170666,Ремонт для модеров,
170667,Стоимость скупки,
171191,"Сэмиус - это главный помощник в магических изысканиях магистра Зальеса. В его обязанности входит проведение экспериментов, изучение последних новостей из Магистериума, а так же проверка корреспонденции старого магистра. Но Сэмиус не жалуется на особую загруженность работой, ведь всё, что ни делается, служит его главной цели в жизни - лучшему пониманию структуры и природы магии. Сэмиус - настоящий учёный, который решил посвятить все свои силы науке. И лишь исторически так сложилось, что главной наукой Людей стала магия.",
171445,На службе Лонгхольму,
171468,Особый сплав,
171473,Перебои в отоплении,
171475,Большая стройка,
171476,Подарок королю,
171477,Осторожно - яд!,
171478,Безымянные герои,
171479,Особое блюдо,
